dms_orig,dms_dest,wgt_dist
081,361,1842
081,362,1563
081,363,1855
081,364,1627
081,369,1761
081,371,1583
081,372,1637
081,373,1754
081,379,1715
081,380,1046
081,391,1229
081,392,1385
081,393,1361
081,394,1225
081,399,1316
081,401,730
081,402,773
081,409,749
081,411,1374
081,419,1437
081,421,1767
081,422,1515
081,423,1788
081,429,1751
081,441,1995
081,451,1842
081,452,1531
081,459,1668
081,460,661
081,471,1128
081,472,1200
081,473,1363
081,479,1453
081,481,1014
081,482,1136
081,483,1127
081,484,833
081,485,711
081,486,1059
081,487,1107
081,488,1087
081,489,907
081,491,601
081,499,589
081,500,2088
081,511,1705
081,512,1800
081,513,1654
081,519,1733
081,531,1394
081,532,1305
081,539,1401
081,540,1745
081,551,1131
081,559,1151
081,560,233
089,011,1502
089,012,1399
089,019,1535
089,020,3637
089,041,820
089,042,841
089,049,962
089,050,1150
089,061,1046
089,062,1216
089,063,1085
089,064,1330
089,065,1238
089,069,1350
089,081,162
089,089,59
089,091,2020
089,092,1971
089,099,2134
089,101,1996
089,109,2133
089,111,1892
089,121,1832
089,122,2172
089,123,1922
089,124,1973
089,129,2036
089,131,1575
089,132,1881
089,139,1777
089,160,890
089,171,1150
089,172,1117
089,179,1107
089,181,1194
089,182,1326
089,183,1345
089,189,1289
089,190,960
089,201,797
089,202,715
089,209,610
089,211,1376
089,212,1368
089,219,1496
089,221,1375
089,222,1338
089,223,1493
089,229,1325
089,230,2434
089,241,1901
089,242,1919
089,249,1942
089,251,2181
089,259,2141
089,261,1470
089,262,1329
089,269,1490
089,271,1123
089,279,1225
089,280,1379
089,291,779
089,292,1107
089,299,1031
089,300,946
089,311,708
089,319,616
089,321,860
089,329,1070
089,331,2152
089,339,2185
089,341,1929
089,342,1993
089,350,526
089,361,1946
089,362,1691
089,363,2020
089,364,1743
089,369,1933
089,371,1784
089,372,1785
089,373,1839
089,379,1983
089,380,1162
089,391,1476
089,392,1534
089,393,1494
089,394,1406
089,399,1485
089,401,817
089,402,853
089,409,850
089,411,1371
089,419,1433
089,421,1973
089,422,1661
089,423,1949
089,429,1871
089,441,2138
089,451,1854
089,452,1758
089,459,1821
089,460,795
089,471,1217
089,472,1400
089,473,1518
089,479,1586
089,481,1045
089,482,1252
089,483,1234
089,484,902
089,485,767
089,486,1124
089,487,1234
